,agency_id,line_id,number_of_trips_today,agency_popularity
1066,15,24055,4,47
1067,15,10359,4,47
1068,15,25025,4,47
1069,15,12468,4,47
1070,15,35056,4,47
1071,15,39024,4,47
1072,15,10624,4,47
1073,15,19340,4,47
1074,15,21347,4,47
1075,15,10352,4,47
1076,15,10368,3,48
1077,15,12459,3,48
1078,15,10504,2,49
1079,15,33005,2,49
1080,15,18046,2,49
1081,15,10357,2,49
1082,15,10660,2,49
1083,15,15068,2,49
1084,15,12469,2,49
1085,15,14298,2,49
1086,15,25018,2,49
1087,15,22020,1,50
1088,15,10688,1,50
1089,15,18065,1,50
1090,15,10572,1,50
1091,16,34010,94,1
1092,16,37011,94,1
1093,16,90011,94,1
1094,16,10497,92,2
1095,16,32013,89,3
1096,16,27015,89,3
1097,16,39005,88,4
1098,16,52003,86,5
1099,16,43016,83,6
1100,16,28014,80,7
1101,16,33012,79,8
1102,16,78015,78,9
1103,16,57002,72,10
1104,16,23023,72,10
1105,16,32014,71,11
1106,16,99005,70,12
1107,16,11189,66,13
1108,16,27009,66,13
1109,16,23045,64,14
1110,16,21016,64,14
1111,16,52018,64,14
1112,16,52019,63,15
1113,16,12450,61,16
1114,16,10597,61,16
1115,16,45004,61,16
1116,16,34008,61,16
1117,16,81004,60,17
1118,16,33006,59,18
1119,16,92002,58,19
1120,16,12301,57,20
1121,16,35012,57,20
1122,16,20038,54,21
1123,16,21055,53,22
1124,16,33003,52,23
1125,16,21075,48,24
1126,16,50006,47,25
1127,16,50001,46,26
1128,16,39002,46,26
1129,16,10356,44,27
1130,16,12354,44,27
1131,16,37009,43,28
1132,16,30007,43,28
1133,16,10348,42,29
1134,16,21047,42,29
1135,16,84002,41,30
1136,16,84001,41,30
1137,16,10415,40,31
1138,16,11185,38,32
1139,16,20009,38,32
1140,16,12117,38,32
1141,16,11412,37,33
1142,16,24019,36,34
1143,16,38011,36,34
1144,16,11411,32,35
1145,16,12188,31,36
1146,16,12350,30,37
1147,16,80005,30,37
1148,16,74015,30,37
1149,16,19039,28,38
1150,16,28011,28,38
1151,16,27018,28,38
1152,16,13180,27,39
1153,16,11188,26,40
1154,16,10420,26,40
1155,16,10411,25,41
1156,16,10969,25,41
1157,16,23052,24,42
1158,16,48083,24,42
1159,16,24028,21,43
1160,16,28042,21,43
1161,16,36041,21,43
1162,16,11247,20,44
1163,16,35058,20,44
1164,16,14136,20,44
1165,16,65001,18,45
1166,16,21050,17,46
1167,16,20042,16,47
1168,16,23013,16,47
1169,16,16050,16,47
1170,16,41028,16,47
1171,16,58082,16,47
1172,16,10183,15,48
1173,16,26030,15,48
1174,16,12773,15,48
1175,16,29010,14,49
1176,16,22044,14,49
1177,16,10412,14,49
1178,16,22026,14,49
1179,16,13185,13,50
1180,16,13242,12,51
1181,16,27055,12,51
1182,16,16180,12,51
1183,16,14352,12,51
1184,16,19046,11,52
1185,16,11186,11,52
1186,16,11184,11,52
1187,16,10193,11,52
1188,16,22049,10,53
1189,16,23053,10,53
1190,16,14157,10,53
1191,16,12248,10,53
1192,16,32057,10,53
1193,16,30016,9,54
1194,16,19041,9,54
1195,16,21051,9,54
1196,16,10187,9,54
1197,16,23017,9,54
1198,16,10408,9,54
1199,16,19042,9,54
1200,16,12195,9,54
1201,16,28017,8,55
1202,16,12181,8,55
1203,16,22022,8,55
1204,16,40019,8,55
1205,16,24050,8,55
1206,16,36048,8,55
1207,16,12850,8,55
1208,16,24036,8,55
1209,16,22033,8,55
1210,16,11849,8,55
1211,16,51021,8,55
1212,16,34025,8,55
1213,16,24067,8,55
1214,16,11855,8,55
1215,16,48087,8,55
1216,16,14856,8,55
1217,16,22056,7,56
1218,16,13246,7,56
1219,16,42023,7,56
1220,16,21054,7,56
1221,16,38006,6,57
1222,16,10190,6,57
1223,16,10851,6,57
1224,16,45025,6,57
1225,16,10854,6,57
1226,16,24021,5,58
1227,16,25029,5,58
1228,16,19037,5,58
1229,16,11191,4,59
1230,16,12793,4,59
1231,16,10191,4,59
1232,16,15296,4,59
1233,16,11190,4,59
1234,16,10323,4,59
1235,16,22053,4,59
1236,16,21044,4,59
1237,16,15289,4,59
1238,16,14156,2,60
